agntosf,ambigagn,composite,defagn,defliner,defseyf,defstarform,galname,sftoagn,sftoagn1,sftoagn2
False,False,False,False,False,False,True,ECO06409,False,False,False
False,False,False,False,False,False,True,ECO10267,False,False,False
False,False,False,False,False,False,True,ECO08549,False,False,False
True,False,False,False,False,False,False,ECO11529,False,False,False
False,False,False,False,False,False,True,ECO07381,False,False,False
False,False,False,False,False,False,True,ECO06502,False,False,False
False,False,False,False,False,False,True,ECO12223,False,False,False
False,False,False,False,False,False,True,ECO04851,False,False,False
False,False,False,False,False,False,True,ECO06727,False,False,False
False,False,False,False,False,False,True,ECO04202,False,False,False
False,False,False,False,False,False,True,ECO04016,False,False,False
False,False,False,False,False,False,True,ECO12191,False,False,False
False,False,False,False,False,False,True,ECO11497,False,False,False
False,False,False,False,False,False,True,ECO07409,False,False,False
False,False,False,False,False,False,False,ECO02074,True,False,True
False,False,True,False,False,False,False,ECO03130,False,False,False
False,False,False,False,False,False,True,ECO06193,False,False,False
False,False,True,False,False,False,False,ECO04869,False,False,False
False,False,False,False,False,False,True,ECO11777,False,False,False
False,False,False,False,False,False,True,ECO04684,False,False,False
False,False,False,False,False,False,True,ECO08587,False,False,False
False,False,False,False,False,False,True,ECO06217,False,False,False
False,False,False,False,False,False,True,ECO04169,False,False,False
False,False,False,False,False,False,True,ECO12577,False,False,False
False,False,False,False,False,False,True,ECO11565,False,False,False
False,False,False,False,False,False,True,ECO06966,False,False,False
False,False,False,False,False,False,True,ECO12487,False,False,False
False,False,False,False,False,False,True,ECO06983,False,False,False
True,False,False,False,False,False,False,ECO05647,False,False,False
False,False,True,False,False,False,False,ECO05428,False,False,False
False,False,False,False,False,False,True,ECO07919,False,False,False
False,False,False,False,False,False,True,ECO09927,False,False,False
False,False,False,False,False,False,True,ECO05464,False,False,False
False,False,False,False,False,False,True,ECO10327,False,False,False
False,False,False,False,False,False,True,ECO03456,False,False,False
False,False,False,False,False,False,True,ECO05697,False,False,False
False,False,False,False,False,False,True,ECO06816,False,False,False
False,False,False,False,False,False,True,ECO10058,False,False,False
False,False,False,False,False,False,True,ECO10778,False,False,False
False,False,False,False,False,False,True,ECO09372,False,False,False
False,False,False,False,False,False,True,ECO03105,False,False,False
False,False,False,False,False,False,True,ECO03439,False,False,False
False,False,False,False,False,False,False,ECO12606,True,False,True
False,False,False,False,False,False,True,ECO04877,False,False,False
False,False,False,False,False,False,True,ECO11533,False,False,False
False,False,False,False,False,False,True,ECO08271,False,False,False
False,False,False,False,False,False,True,ECO03340,False,False,False
False,False,False,False,False,False,True,ECO07118,False,False,False
False,False,False,False,False,False,True,ECO06901,False,False,False
False,False,False,False,False,False,True,ECO09628,False,False,False
False,False,False,False,False,False,True,ECO04448,False,False,False
False,False,False,False,False,False,True,ECO04898,False,False,False
False,False,False,False,False,False,True,ECO11611,False,False,False
False,False,True,False,False,False,False,ECO03162,False,False,False
False,False,False,False,False,False,True,ECO11848,False,False,False
False,False,True,False,False,False,False,ECO08749,False,False,False
False,False,False,False,False,False,False,ECO05128,True,False,True
False,False,False,True,False,True,False,ECO11504,False,False,False
False,False,False,False,False,False,True,ECO07250,False,False,False
False,False,False,False,False,False,True,ECO08824,False,False,False
False,False,False,False,False,False,True,ECO05514,False,False,False
False,False,False,False,False,False,True,ECO02152,False,False,False
False,False,False,False,False,False,True,ECO10605,False,False,False
False,False,False,False,False,False,True,ECO06647,False,False,False
True,False,False,False,False,False,False,ECO03410,False,False,False
