agntosf,ambigagn,composite,defagn,defliner,defseyf,defstarform,galname,sftoagn,sftoagn1,sftoagn2
False,False,True,False,False,False,False,ECO06958,False,False,False
False,False,False,False,False,False,True,ECO09470,False,False,False
False,False,False,False,False,False,True,ECO09442,False,False,False
False,False,False,False,False,False,True,ECO10307,False,False,False
False,False,False,False,False,False,True,ECO05399,False,False,False
False,False,False,False,False,False,True,ECO05386,False,False,False
False,False,False,False,False,False,True,ECO09916,False,False,False
False,False,False,False,False,False,True,ECO04549,False,False,False
False,False,False,False,False,False,True,ECO04820,False,False,False
False,False,False,False,False,False,False,ECO09649,True,False,True
False,False,True,False,False,False,False,ECO05006,False,False,False
False,False,False,False,False,False,True,ECO10366,False,False,False
False,False,True,False,False,False,False,ECO04315,False,False,False
False,False,False,True,True,False,False,ECO04477,False,False,False
False,False,False,True,False,True,False,ECO05669,False,False,False
False,False,False,False,False,False,True,ECO09976,False,False,False
False,False,False,False,False,False,True,ECO06193,False,False,False
False,False,False,False,False,False,True,ECO10951,False,False,False
False,False,False,False,False,False,True,ECO09949,False,False,False
False,False,False,False,False,False,False,ECO09943,True,False,True
False,False,False,False,False,False,True,ECO09959,False,False,False
False,False,False,False,False,False,False,ECO06590,True,True,True
False,False,False,False,False,False,True,ECO04239,False,False,False
False,False,False,True,True,False,False,ECO04773,False,False,False
False,False,True,False,False,False,False,ECO04817,False,False,False
False,False,False,False,False,False,True,ECO06550,False,False,False
False,False,False,False,False,False,True,ECO10013,False,False,False
False,False,True,False,False,False,False,ECO10035,False,False,False
False,False,False,False,False,False,True,ECO09211,False,False,False
False,False,False,True,False,True,False,ECO07802,False,False,False
False,False,False,False,False,False,True,ECO07670,False,False,False
False,False,False,False,False,False,True,ECO05488,False,False,False
False,False,False,False,False,False,False,ECO09618,True,False,True
False,False,False,False,False,False,False,ECO09733,True,True,True
False,False,False,False,False,False,True,ECO09960,False,False,False
False,False,False,False,False,False,True,ECO00409,False,False,False
False,False,False,False,False,False,True,ECO09784,False,False,False
False,False,False,False,False,False,True,ECO05947,False,False,False
False,False,False,False,False,False,True,ECO03614,False,False,False
False,False,False,False,False,False,False,ECO06402,True,True,False
False,False,False,False,False,False,True,ECO04436,False,False,False
False,False,False,False,False,False,True,ECO04563,False,False,False
False,False,False,False,False,False,True,ECO09577,False,False,False
False,False,True,False,False,False,False,ECO04619,False,False,False
False,False,False,False,False,False,True,ECO04684,False,False,False
False,False,False,False,False,False,True,ECO06901,False,False,False
False,False,False,False,False,False,True,ECO09493,False,False,False
False,False,False,True,False,True,False,ECO04776,False,False,False
False,False,False,True,True,False,False,ECO04766,False,False,False
False,False,False,False,False,False,True,ECO04775,False,False,False
False,False,True,False,False,False,False,ECO04729,False,False,False
False,False,False,False,False,False,True,ECO09685,False,False,False
False,False,False,False,False,False,False,ECO09726,True,True,True
False,False,False,False,False,False,True,ECO09646,False,False,False
False,False,False,False,False,False,True,ECO06529,False,False,False
False,False,False,False,False,False,True,ECO06530,False,False,False
False,False,False,False,False,False,True,ECO04772,False,False,False
False,False,False,False,False,False,True,ECO10542,False,False,False
False,False,False,False,False,False,True,ECO04839,False,False,False
False,False,False,False,False,False,True,ECO06544,False,False,False
False,False,False,False,False,False,True,ECO09516,False,False,False
