name,e_bv_sfd,spectofiber
ECO05483,0.02472644,0.7378818
ECO09190,0.01677548,0.7346919
ECO05392,0.01256724,0.7646059
ECO04131,0.03462552,0.7436155
ECO00350,0.03265764,0.739397
ECO10400,0.02380739,0.7094927
ECO13352,0.02110479,0.7457261
ECO11776,0.0407683,0.721702
ECO05675,0.04109523,0.7778783
ECO08081,0.03261462,0.7276089
ECO08053,0.03501561,0.7781684
ECO06069,0.01322706,0.7795045
ECO00397,0.01017105,0.7550445
ECO02944,0.01900452,0.7439411
ECO09985,0.01297005,0.7215713
ECO09879,0.008987847,0.7730534
ECO00606,0.02814873,0.7376001
ECO05088,0.05044904,0.1593506
ECO07458,0.02661419,0.7353227
ECO07375,0.02054042,0.7198194
ECO07472,0.02920591,0.7663385
ECO00786,0.02343524,0.7182909
ECO11465,0.02367352,0.7226816
ECO06378,0.0235497,0.8233423
ECO13765,0.03276327,0.7343443
ECO04771,0.03316105,0.7571986
ECO03714,0.02746053,0.7175494
ECO05314,0.06895817,0.7537258
ECO07579,0.01949126,0.7591352
ECO06879,0.0156836,0.7503284
ECO09645,0.01385814,0.7360464
ECO06559,0.01448172,0.7566782
ECO10882,0.01233741,0.6688536
ECO09513,0.01178266,0.7713695
ECO07101,0.01263232,0.7630446
ECO09699,0.02136609,0.780072
ECO07993,0.03082975,0.8331549
ECO05129,0.02811201,0.7230602
ECO04134,0.03049451,0.7246799
ECO11535,0.03220829,0.7552499
ECO10540,0.005437297,0.7758586
ECO10438,0.01170772,0.724118
ECO09791,0.01544578,0.9429101
ECO11670,0.0212881,0.7992604
ECO06071,0.02096537,0.7145591
ECO10829,0.01901856,0.854453
ECO01278,0.01766195,0.7279264
ECO09265,0.01420803,0.6944213
ECO01590,0.0161533,0.7778023
ECO08783,0.02309066,0.816982
ECO09226,0.01408626,0.719704
ECO07134,0.01275085,0.783743
ECO11107,0.01547123,0.7424636
ECO09304,0.0132523,0.7813741
ECO08544,0.0304212,0.7573375
ECO01569,0.01052739,0.7902285
ECO01549,0.01096873,0.8468146
ECO11239,0.05658938,0.7625458
ECO12037,0.01647147,0.7255238
ECO09085,0.0154766,0.8063047
ECO03450,0.01330683,0.7356406
ECO09120,0.01771995,0.7563782
ECO03984,0.01619332,0.7543861
ECO10641,0.01254521,0.7952843
ECO08989,0.01072293,0.7493546
ECO02778,0.02583254,0.748402
ECO03065,0.02168319,0.735882
ECO10278,0.01124842,0.7393304
ECO01013,0.01700912,0.8230478
ECO05575,0.01379481,0.7379376
ECO09948,0.01532669,0.7794154
ECO10877,0.01532012,0.7814493
ECO03931,0.008920969,0.7529224
ECO03938,0.01258012,0.7791929
ECO08653,0.01832266,0.771373
ECO11229,0.02336772,0.7454454
ECO08444,0.03183392,0.7678333
ECO08816,0.01187756,0.8011445
ECO07010,0.01114366,0.7883066
ECO06243,0.01108796,0.8192958
ECO08826,0.01029686,0.7362322
ECO08835,0.0127207,0.7485158
ECO00886,0.02816901,0.822199
ECO13053,0.02550208,0.7441273
ECO13223,0.03335037,0.7673108
