name,econame,mw3w,mw4w,sfr_nuv,sfr_nuv_wisew,sfr_nuv_err,sfr_nuv_wisew_err
"SJUSHR522","ECO07438",0.00000,0.00000,1.018921497301489,1.018921497301489,0.1962320955120508,0.1962320955120508
"SJUSHR5220","ECO07439",0.00000,0.00000,0.03533337819600245,0.03533337819600245,0.02746647315596715,0.02746647315596715
"SJUSHR5221","ECO07440",10.2382,8.11259,0.3903983050745791,0.3903983050745791,0.2340439920566260,0.2340439920566260
"SJUSHR5222","ECO07441",0.00000,0.00000,0.1810963121814851,0.1810963121814851,0.02698754713944838,0.02698754713944838
"SJUSHR5223","ECO07442",0.00000,0.00000,0.005892915929357916,0.005892915929357916,0.0005883487485109146,0.0005883487485109146
"SJUSHR5224","ECO07443",10.8215,8.60772,0.3091650138374897,0.3091650138374897,0.2524604635576242,0.2524604635576242
"SJUSHR5225","ECO07444",0.00000,0.00000,0.1599713566816832,0.1599713566816832,0.02329428472698354,0.02329428472698354
"SJUSHR5226","ECO07445",0.00000,0.00000,0.7442865689113353,0.7442865689113353,0.4344093818730097,0.4344093818730097
"SJUSHR5227","ECO07446",0.00000,0.00000,0.02582249390315883,0.02582249390315883,0.01913372471115002,0.01913372471115002
"SJUSHR5228","ECO07447",0.00000,0.00000,0.02111055783408917,0.02111055783408917,0.001742139796192857,0.001742139796192857
"SJUSHR5229","ECO07448",0.00000,0.00000,0.3467029932869437,0.3467029932869437,0.05125166032038739,0.05125166032038739
"SJUSHR523","ECO07449",0.00000,0.00000,3.456709858188121,3.456709858188121,0.000000000000000,0.000000000000000
"SJUSHR5230","ECO07450",0.00000,0.00000,0.3840010927164471,0.3840010927164471,0.1563255729730294,0.1563255729730294
"SJUSHR5231","ECO07451",0.00000,0.00000,0.1785156917270720,0.1785156917270720,0.04779656759170976,0.04779656759170976
"SJUSHR5232","ECO07452",10.9271,8.64560,0.3270237032737330,0.3270237032737330,0.02180685914777609,0.02180685914777609
"SJUSHR5233","ECO07453",0.00000,0.00000,0.4336309424824594,0.4336309424824594,0.03027364942157897,0.03027364942157897
"SJUSHR5234","ECO07454",0.00000,0.00000,0.02678387707799995,0.02678387707799995,0.000000000000000,0.000000000000000
"SJUSHR5235","ECO07455",0.00000,0.00000,0.008932199459193452,0.008932199459193452,0.0009493787890966050,0.0009493787890966050
