# YES:  Extinction Coefficients -- Results
#
# Quantities which were not computable
# are assigned a value of -99
#
#
# Reddening Law  = odonnell_94
# The law has been formulated to give R_V = 3.07 for Vega.
#
#
#Wavelength(A)   A_lambda/tau1  A_lambda/E(B-V)
#
 4479.000        3.69195        3.78731
 4482.000        3.68931        3.78460
 4485.000        3.68667        3.78189
 4488.000        3.68402        3.77917
 4491.000        3.68137        3.77645
 4494.000        3.67871        3.77373
 4497.000        3.67605        3.77100
 4500.000        3.67339        3.76827
 4503.000        3.67072        3.76553
 4506.000        3.66805        3.76279
 4509.000        3.66538        3.76005
 4512.000        3.66270        3.75730
 4515.000        3.66002        3.75455
 4518.000        3.65734        3.75180
 4521.000        3.65465        3.74904
 4524.000        3.65196        3.74628
 4527.000        3.64926        3.74352
 4530.000        3.64656        3.74075
 4533.000        3.64386        3.73797
 4536.000        3.64115        3.73520
 4539.000        3.63845        3.73242
 4542.000        3.63573        3.72964
 4545.000        3.63302        3.72685
 4548.000        3.63030        3.72406
 4551.000        3.62758        3.72127
 4554.000        3.62485        3.71847
 4557.000        3.62212        3.71568
 4560.000        3.61939        3.71287
 4563.000        3.61665        3.71007
 4566.000        3.61392        3.70726
 4569.000        3.61117        3.70445
 4572.000        3.60843        3.70163
 4575.000        3.60568        3.69881
 4578.000        3.60293        3.69599
 4581.000        3.60018        3.69317
 4584.000        3.59742        3.69034
 4587.000        3.59466        3.68751
 4590.000        3.59190        3.68467
 4593.000        3.58914        3.68184
 4596.000        3.58637        3.67900
 4599.000        3.58360        3.67616
 4602.000        3.58082        3.67331
 4605.000        3.57805        3.67046
 4608.000        3.57527        3.66761
 4611.000        3.57249        3.66476
 4614.000        3.56970        3.66190
 4617.000        3.56692        3.65904
 4620.000        3.56413        3.65618
 4623.000        3.56133        3.65332
 4626.000        3.55854        3.65045
 4629.000        3.55574        3.64758
 4632.000        3.55294        3.64471
 4635.000        3.55014        3.64184
 4638.000        3.54734        3.63896
 4641.000        3.54453        3.63608
 4644.000        3.54172        3.63320
 4647.000        3.53891        3.63032
 4650.000        3.53610        3.62743
 4653.000        3.53328        3.62454
 4656.000        3.53047        3.62165
 4659.000        3.52765        3.61876
 4662.000        3.52483        3.61587
 4665.000        3.52200        3.61297
 4668.000        3.51918        3.61007
 4671.000        3.51635        3.60717
 4674.000        3.51352        3.60427
 4677.000        3.51069        3.60136
 4680.000        3.50786        3.59846
 4683.000        3.50502        3.59555
 4686.000        3.50218        3.59264
 4689.000        3.49935        3.58973
 4692.000        3.49651        3.58681
 4695.000        3.49366        3.58390
 4698.000        3.49082        3.58098
 4701.000        3.48798        3.57806
 4704.000        3.48513        3.57515
 4707.000        3.48228        3.57222
 4710.000        3.47943        3.56930
 4713.000        3.47658        3.56638
 4716.000        3.47373        3.56345
 4719.000        3.47088        3.56052
 4722.000        3.46802        3.55760
 4725.000        3.46517        3.55467
 4728.000        3.46231        3.55173
 4731.000        3.45945        3.54880
 4734.000        3.45659        3.54587
 4737.000        3.45373        3.54293
 4740.000        3.45087        3.54000
 4743.000        3.44801        3.53706
 4746.000        3.44514        3.53412
 4749.000        3.44228        3.53119
 4752.000        3.43941        3.52825
 4755.000        3.43655        3.52531
 4758.000        3.43368        3.52236
 4761.000        3.43081        3.51942
 4764.000        3.42794        3.51648
 4767.000        3.42507        3.51354
 4770.000        3.42220        3.51059
 4773.000        3.41933        3.50765
 4776.000        3.41646        3.50470
 4779.000        3.41359        3.50176
 4782.000        3.41072        3.49881
 4785.000        3.40784        3.49586
 4788.000        3.40497        3.49291
 4791.000        3.40210        3.48997
 4794.000        3.39922        3.48702
 4797.000        3.39635        3.48407
 4800.000        3.39347        3.48112
 4803.000        3.39060        3.47817
 4806.000        3.38772        3.47522
 4809.000        3.38485        3.47227
 4812.000        3.38197        3.46932
 4815.000        3.37910        3.46637
 4818.000        3.37622        3.46342
 4821.000        3.37334        3.46047
 4824.000        3.37047        3.45752
 4827.000        3.36759        3.45457
 4830.000        3.36472        3.45162
 4833.000        3.36184        3.44867
 4836.000        3.35897        3.44573
 4839.000        3.35609        3.44278
 4842.000        3.35322        3.43983
 4845.000        3.35035        3.43688
 4848.000        3.34747        3.43393
 4851.000        3.34460        3.43098
 4854.000        3.34172        3.42804
 4857.000        3.33885        3.42509
 4860.000        3.33598        3.42214
 4863.000        3.33311        3.41920
 4866.000        3.33024        3.41625
 4869.000        3.32737        3.41331
 4872.000        3.32450        3.41036
 4875.000        3.32163        3.40742
 4878.000        3.31876        3.40448
 4881.000        3.31589        3.40154
 4884.000        3.31303        3.39860
 4887.000        3.31016        3.39566
 4890.000        3.30729        3.39272
 4893.000        3.30443        3.38978
 4896.000        3.30157        3.38684
 4899.000        3.29870        3.38390
 4902.000        3.29584        3.38097
 4905.000        3.29298        3.37803
 4908.000        3.29012        3.37510
