agntosf,ambigagn,composite,defagn,defliner,defseyf,defstarform,galname,sftoagn,sftoagn1,sftoagn2
False,False,False,False,False,False,True,ECO02025,False,False,False
False,False,False,False,False,False,True,ECO02029,False,False,False
False,False,False,False,False,False,True,ECO02035,False,False,False
False,False,False,False,False,False,True,ECO02036,False,False,False
False,False,False,False,False,False,True,ECO02037,False,False,False
False,False,False,False,False,False,True,ECO02040,False,False,False
False,False,False,False,False,False,False,ECO02058,True,False,True
False,False,False,False,False,False,True,ECO02062,False,False,False
False,False,False,False,False,False,True,ECO02065,False,False,False
False,False,False,False,False,False,False,ECO02074,True,False,True
False,False,False,False,False,False,True,ECO02100,False,False,False
False,False,False,False,False,False,True,ECO02109,False,False,False
False,False,False,False,False,False,True,ECO02124,False,False,False
False,False,False,False,False,False,True,ECO02125,False,False,False
False,False,False,False,False,False,True,ECO02128,False,False,False
False,False,False,False,False,False,True,ECO02135,False,False,False
False,False,False,False,False,False,True,ECO02138,False,False,False
False,False,False,False,False,False,True,ECO02139,False,False,False
False,False,False,False,False,False,True,ECO02144,False,False,False
False,False,False,False,False,False,True,ECO02152,False,False,False
False,False,False,False,False,False,True,ECO02155,False,False,False
False,False,False,False,False,False,True,ECO02157,False,False,False
False,False,False,False,False,False,True,ECO02160,False,False,False
False,False,False,False,False,False,True,ECO02162,False,False,False
False,False,False,False,False,False,True,ECO02165,False,False,False
False,False,False,False,False,False,True,ECO02167,False,False,False
False,False,False,False,False,False,True,ECO02169,False,False,False
False,False,False,False,False,False,True,ECO02173,False,False,False
False,False,False,False,False,False,True,ECO02179,False,False,False
False,False,False,False,False,False,True,ECO02182,False,False,False
False,False,False,False,False,False,True,ECO02189,False,False,False
False,False,False,False,False,False,False,ECO02193,True,False,True
False,False,False,False,False,False,True,ECO02198,False,False,False
False,False,False,False,False,False,True,ECO02199,False,False,False
False,False,False,False,False,False,True,ECO02200,False,False,False
False,False,False,False,False,False,True,ECO02206,False,False,False
False,False,False,False,False,False,True,ECO02207,False,False,False
False,False,False,False,False,False,True,ECO02212,False,False,False
False,False,False,False,False,False,True,ECO02223,False,False,False
False,False,False,False,False,False,False,ECO02224,True,False,True
False,False,False,False,False,False,True,ECO02226,False,False,False
False,False,False,False,False,False,True,ECO02228,False,False,False
False,False,False,False,False,False,True,ECO02237,False,False,False
False,False,False,False,False,False,True,ECO02239,False,False,False
False,False,False,False,False,False,True,ECO02242,False,False,False
False,False,False,False,False,False,True,ECO02246,False,False,False
False,False,False,False,False,False,True,ECO02253,False,False,False
False,False,False,False,False,False,True,ECO02268,False,False,False
False,False,False,False,False,False,True,ECO02269,False,False,False
False,False,False,False,False,False,True,ECO02270,False,False,False
False,False,False,False,False,False,True,ECO02287,False,False,False
False,False,False,False,False,False,True,ECO02292,False,False,False
False,False,False,False,False,False,True,ECO02293,False,False,False
False,False,False,False,False,False,True,ECO02297,False,False,False
False,False,False,False,False,False,True,ECO02298,False,False,False
False,False,False,False,False,False,True,ECO02300,False,False,False
False,False,False,False,False,False,True,ECO02317,False,False,False
False,False,False,False,False,False,True,ECO02318,False,False,False
False,False,False,False,False,False,True,ECO02321,False,False,False
False,False,False,True,False,True,False,ECO02323,False,False,False
False,False,False,False,False,False,True,ECO02326,False,False,False
False,False,False,False,False,False,True,ECO02328,False,False,False
False,False,False,False,False,False,True,ECO02331,False,False,False
False,False,True,False,False,False,False,ECO02332,False,False,False
False,False,False,False,False,False,True,ECO02335,False,False,False
False,False,False,False,False,False,True,ECO02337,False,False,False
False,False,True,False,False,False,False,ECO02341,False,False,False
False,False,False,False,False,False,True,ECO02342,False,False,False
False,False,False,False,False,False,True,ECO02345,False,False,False
False,False,False,False,False,False,True,ECO02346,False,False,False
False,False,False,False,False,False,True,ECO02348,False,False,False
False,False,False,False,False,False,True,ECO02352,False,False,False
False,False,False,False,False,False,True,ECO02355,False,False,False
False,False,False,False,False,False,True,ECO02359,False,False,False
