Wavelength,A_lambda/tau1,Al_Ebv
4296,3.84546,3.94478
4299,3.84306,3.94232
4302,3.84066,3.93986
4305,3.83826,3.93739
4308,3.83585,3.93492
4311,3.83344,3.93245
4314,3.83102,3.92997
4317,3.8286,3.92749
4320,3.82618,3.925
4323,3.82375,3.92251
4326,3.82132,3.92002
4329,3.81888,3.91752
4332,3.81644,3.91502
4335,3.814,3.91251
4338,3.81155,3.91
4341,3.8091,3.90748
4344,3.80665,3.90496
4347,3.80419,3.90244
4350,3.80172,3.89991
4353,3.79925,3.89738
4356,3.79678,3.89485
4359,3.79431,3.89231
4362,3.79183,3.88977
4365,3.78934,3.88722
4368,3.78686,3.88467
4371,3.78437,3.88211
4374,3.78187,3.87955
4377,3.77937,3.87698
4380,3.77687,3.87442
4383,3.77436,3.87184
4386,3.77184,3.86927
4389,3.76933,3.86668
4392,3.76681,3.8641
4395,3.76428,3.86151
4398,3.76175,3.85891
4401,3.75922,3.85632
4404,3.75669,3.85371
4407,3.75414,3.85111
4410,3.7516,3.8485
4413,3.74905,3.84588
4416,3.7465,3.84326
4419,3.74394,3.84064
4422,3.74138,3.83801
4425,3.73881,3.83538
4428,3.73624,3.83274
4431,3.73367,3.8301
4434,3.73109,3.82746
4437,3.72851,3.82481
4440,3.72593,3.82216
4443,3.72334,3.8195
4446,3.72074,3.81684
4449,3.71814,3.81418
4452,3.71554,3.81151
4455,3.71294,3.80884
4458,3.71033,3.80616
4461,3.70771,3.80348
4464,3.7051,3.80079
4467,3.70248,3.79811
4470,3.69985,3.79541
4473,3.69722,3.79272
4476,3.69459,3.79001
4479,3.69195,3.78731
4482,3.68931,3.7846
4485,3.68667,3.78189
4488,3.68402,3.77917
4491,3.68137,3.77645
4494,3.67871,3.77373
4497,3.67605,3.771
4500,3.67339,3.76827
4503,3.67072,3.76553
4506,3.66805,3.76279
4509,3.66538,3.76005
4512,3.6627,3.7573
4515,3.66002,3.75455
4518,3.65734,3.7518
4521,3.65465,3.74904
4524,3.65196,3.74628
4527,3.64926,3.74352
4530,3.64656,3.74075
4533,3.64386,3.73797
4536,3.64115,3.7352
4539,3.63845,3.73242
4542,3.63573,3.72964
4545,3.63302,3.72685
4548,3.6303,3.72406
4551,3.62758,3.72127
4554,3.62485,3.71847
4557,3.62212,3.71568
4560,3.61939,3.71287
4563,3.61665,3.71007
4566,3.61392,3.70726
4569,3.61117,3.70445
4572,3.60843,3.70163
4575,3.60568,3.69881
4578,3.60293,3.69599
4581,3.60018,3.69317
4584,3.59742,3.69034
4587,3.59466,3.68751
4590,3.5919,3.68467
4593,3.58914,3.68184
4596,3.58637,3.679
4599,3.5836,3.67616
4602,3.58082,3.67331
4605,3.57805,3.67046
4608,3.57527,3.66761
4611,3.57249,3.66476
4614,3.5697,3.6619
4617,3.56692,3.65904
4620,3.56413,3.65618
4623,3.56133,3.65332
4626,3.55854,3.65045
4629,3.55574,3.64758
4632,3.55294,3.64471
4635,3.55014,3.64184
4638,3.54734,3.63896
4641,3.54453,3.63608
4644,3.54172,3.6332
4647,3.53891,3.63032
4650,3.5361,3.62743
4653,3.53328,3.62454
4656,3.53047,3.62165
4659,3.52765,3.61876
4662,3.52483,3.61587
4665,3.522,3.61297
4668,3.51918,3.61007
4671,3.51635,3.60717
4674,3.51352,3.60427
4677,3.51069,3.60136
4680,3.50786,3.59846
4683,3.50502,3.59555
4686,3.50218,3.59264
4689,3.49935,3.58973
4692,3.49651,3.58681
4695,3.49366,3.5839
4698,3.49082,3.58098
4701,3.48798,3.57806
4704,3.48513,3.57515
4707,3.48228,3.57222
4710,3.47943,3.5693
4713,3.47658,3.56638
4716,3.47373,3.56345
4719,3.47088,3.56052
4722,3.46802,3.5576
4725,3.46517,3.55467
4728,3.46231,3.55173
4731,3.45945,3.5488
4734,3.45659,3.54587
4737,3.45373,3.54293
