name,bptagn,nontrad,unclassified,composite,sf
ECO02547,False,False,False,False,True
ECO02548,False,False,False,False,True
ECO02549,False,False,False,False,True
ECO02554,False,False,False,False,True
ECO02561,False,False,False,False,True
ECO02570,False,False,False,False,True
ECO02571,False,False,False,False,True
ECO02573,False,False,False,False,True
ECO02574,False,False,False,False,True
ECO02575,False,False,False,False,True
ECO02578,False,False,False,False,True
ECO02579,False,False,False,False,True
ECO02580,True,False,True,False,False
ECO02582,False,False,False,False,True
ECO02585,False,False,False,False,True
ECO02589,False,False,False,False,True
ECO02593,False,False,False,False,True
ECO02594,False,False,False,False,True
ECO02595,False,False,False,False,True
ECO02598,False,False,False,False,True
ECO02599,False,False,False,False,True
ECO02601,False,False,False,False,True
ECO02602,False,False,False,False,True
ECO02603,False,False,False,False,True
ECO02604,False,False,False,False,True
ECO02608,False,False,False,False,True
ECO02623,False,False,False,False,True
ECO02624,False,False,False,False,True
ECO02629,False,False,False,False,True
ECO02630,False,False,False,False,True
ECO02631,False,False,False,False,True
ECO02635,False,False,False,False,True
ECO02638,False,False,False,False,True
ECO02639,False,False,False,False,True
ECO02641,False,False,False,False,True
ECO02644,False,False,False,False,True
ECO02646,False,False,False,False,True
ECO02650,False,False,False,False,True
ECO02653,False,False,False,False,True
ECO02656,False,False,False,False,True
ECO02657,False,False,True,True,False
ECO02658,False,False,False,False,True
ECO02659,False,False,False,False,True
ECO02661,False,False,False,False,True
ECO02662,False,False,True,True,False
ECO02663,False,False,False,False,True
ECO02664,False,False,False,False,True
ECO02665,False,True,False,False,True
ECO02669,False,False,False,False,True
ECO02672,False,False,False,False,True
ECO02675,False,False,False,False,True
ECO02680,False,False,False,False,True
ECO02682,False,False,False,False,True
ECO02683,False,False,False,False,True
ECO02684,False,False,False,False,True
ECO02686,False,False,False,False,True
ECO02687,False,False,False,False,True
ECO02688,False,True,False,False,True
ECO02689,False,False,False,False,True
ECO02690,False,False,False,False,True
ECO02691,False,True,False,False,True
ECO02692,False,True,False,False,True
ECO02693,False,False,False,False,True
ECO02695,False,True,False,False,True
ECO02698,False,False,False,False,True
ECO02700,False,False,False,False,True
ECO02701,False,False,False,False,True
ECO02703,False,False,False,False,True
ECO02705,False,False,False,False,True
ECO02706,False,False,False,False,True
ECO02707,False,False,False,False,True
ECO02709,False,False,False,False,True
ECO02710,False,False,True,True,False
ECO02711,False,False,False,False,True
ECO02712,False,False,False,False,True
ECO02713,False,False,False,False,True
ECO02714,False,False,False,False,True
ECO02715,False,False,False,False,True
ECO02719,False,False,False,False,True
ECO02722,False,False,False,False,True
ECO02725,False,False,False,False,True
ECO02726,False,False,False,False,True
ECO02733,False,False,False,False,True
ECO02741,False,False,False,False,True
ECO02744,False,True,False,False,True
ECO02745,False,False,False,False,True
ECO02746,False,False,False,False,True
ECO02749,False,False,False,False,True
ECO02755,True,False,True,False,False
ECO02762,False,False,True,True,False
ECO02763,False,False,False,False,True
ECO02764,False,False,False,False,True
ECO02771,False,False,True,True,False
ECO02777,False,False,False,False,True
ECO02779,False,False,False,False,True
ECO02781,False,False,False,False,True
ECO02788,False,False,False,False,True
ECO02789,False,False,False,False,True
ECO02790,False,False,False,False,True
ECO02792,False,False,False,False,True
ECO02796,False,False,False,False,True
ECO02801,False,False,False,False,True
ECO02802,False,False,False,False,True
ECO02804,False,False,False,False,True
ECO02805,False,False,False,False,True
ECO02806,False,False,True,True,False
ECO02810,False,False,False,False,True
ECO02814,False,False,False,False,True
ECO02815,False,False,True,True,False
ECO02818,False,False,False,False,True
ECO02819,False,False,False,False,True
ECO02821,False,False,False,False,True
ECO02822,False,False,False,False,True
ECO02833,False,True,False,False,True
ECO02834,False,False,False,False,True
ECO02837,False,False,False,False,True
ECO02840,False,False,False,False,True
ECO02843,False,False,False,False,True
ECO02844,False,False,False,False,True
ECO02845,False,False,False,False,True
ECO02846,False,False,False,False,True
ECO02847,False,False,False,False,True
ECO02848,False,False,False,False,True
ECO02849,False,False,False,False,True
ECO02853,False,False,False,False,True
ECO02859,False,False,False,False,True
ECO02860,False,False,False,False,True
ECO02872,False,False,False,False,True
ECO02875,False,False,False,False,True
ECO02876,False,True,False,False,True
ECO02878,False,False,False,False,True
ECO02881,False,False,False,False,True
ECO02882,False,True,False,False,True
ECO02884,False,False,True,True,False
ECO02885,False,False,False,False,True
ECO02887,False,False,False,False,True
ECO02888,False,False,False,False,True
ECO02889,False,False,False,False,True
ECO02890,False,True,False,False,True
ECO02891,False,False,False,False,True
ECO02893,False,False,False,False,True
ECO02899,False,False,False,False,True
ECO02900,True,False,False,False,True
ECO02905,True,False,False,False,True
ECO02908,False,False,False,False,True
ECO02910,False,False,False,False,True
ECO02911,False,False,False,False,True
ECO02918,False,False,False,True,True
ECO02922,True,False,True,True,False
ECO02923,True,False,False,False,True
ECO02924,False,False,False,False,True
ECO02928,False,False,False,False,True
ECO02929,False,False,False,False,True
ECO02932,False,True,False,False,True
ECO02936,False,False,False,False,True
ECO02942,False,False,False,False,True
ECO02944,False,False,False,False,True
ECO02946,False,False,False,False,True
ECO02948,False,False,False,True,True
ECO02949,False,False,False,True,True
ECO02950,False,False,False,False,True
ECO02956,True,False,False,False,True
ECO02961,True,False,False,False,True
ECO02962,False,False,False,False,True
ECO02964,False,False,False,False,True
ECO02967,False,False,False,False,True
ECO02972,False,False,False,False,True
ECO02973,False,False,False,True,True
ECO02975,False,False,False,True,True
