galname,defstarform,composite,defseyf,defliner,ambigagn,sftoagn,agntosf,defagn,sftoagn1,sftoagn2
ECO02598,True,False,False,False,False,False,False,False,False,False
ECO02599,True,False,False,False,False,False,False,False,False,False
ECO02602,True,False,False,False,False,False,False,False,False,False
ECO02604,True,False,False,False,False,False,False,False,False,False
ECO02608,True,False,False,False,False,False,False,False,False,False
ECO02619,False,True,False,False,False,False,False,False,False,False
ECO02623,True,False,False,False,False,False,False,False,False,False
ECO02624,True,False,False,False,False,False,False,False,False,False
ECO02629,True,False,False,False,False,False,False,False,False,False
ECO02631,True,False,False,False,False,False,False,False,False,False
ECO02635,True,False,False,False,False,False,False,False,False,False
ECO02638,True,False,False,False,False,False,False,False,False,False
ECO02639,True,False,False,False,False,False,False,False,False,False
ECO02641,True,False,False,False,False,False,False,False,False,False
ECO02644,True,False,False,False,False,False,False,False,False,False
ECO02646,True,False,False,False,False,False,False,False,False,False
ECO02650,True,False,False,False,False,False,False,False,False,False
ECO02653,True,False,False,False,False,False,False,False,False,False
ECO02656,True,False,False,False,False,False,False,False,False,False
ECO02658,True,False,False,False,False,False,False,False,False,False
ECO02659,True,False,False,False,False,False,False,False,False,False
ECO02661,True,False,False,False,False,False,False,False,False,False
ECO02662,False,True,False,False,False,False,False,False,False,False
ECO02663,True,False,False,False,False,False,False,False,False,False
ECO02664,True,False,False,False,False,False,False,False,False,False
ECO02665,False,False,False,False,False,True,False,False,True,False
ECO02669,True,False,False,False,False,False,False,False,False,False
ECO02672,True,False,False,False,False,False,False,False,False,False
ECO02675,True,False,False,False,False,False,False,False,False,False
ECO02680,True,False,False,False,False,False,False,False,False,False
ECO02682,True,False,False,False,False,False,False,False,False,False
ECO02683,True,False,False,False,False,False,False,False,False,False
ECO02684,True,False,False,False,False,False,False,False,False,False
ECO02686,True,False,False,False,False,False,False,False,False,False
ECO02687,True,False,False,False,False,False,False,False,False,False
ECO02688,False,False,False,False,False,True,False,False,True,True
ECO02689,True,False,False,False,False,False,False,False,False,False
ECO02691,False,False,False,False,False,True,False,False,False,True
ECO02692,False,False,False,False,False,True,False,False,True,True
ECO02693,True,False,False,False,False,False,False,False,False,False
ECO02695,False,False,False,False,False,True,False,False,False,True
ECO02696,False,False,False,True,False,False,False,True,False,False
ECO02698,True,False,False,False,False,False,False,False,False,False
ECO02701,True,False,False,False,False,False,False,False,False,False
ECO02702,False,False,False,False,False,True,False,False,False,True
ECO02703,True,False,False,False,False,False,False,False,False,False
ECO02707,True,False,False,False,False,False,False,False,False,False
ECO02710,False,True,False,False,False,False,False,False,False,False
ECO02711,True,False,False,False,False,False,False,False,False,False
ECO02713,True,False,False,False,False,False,False,False,False,False
ECO02714,True,False,False,False,False,False,False,False,False,False
ECO02718,False,False,False,True,False,False,False,True,False,False
ECO02719,True,False,False,False,False,False,False,False,False,False
ECO02725,True,False,False,False,False,False,False,False,False,False
ECO02726,True,False,False,False,False,False,False,False,False,False
