#ID SDSSID RA DEG z Plate MJD Fiber nspec
  192 J005439.79+155446.9  13.665797    15.913033     0.236238    420 51871 574 1
  193 J005446.16+004204.1  13.692347     0.70114752   0.234349    394 51913 618 1
  194 J005501.03+002107.2  13.754297     0.35201214   0.192717    394 51913 519 1
  195 J005538.19+010011.5  13.909119     1.0031837    0.233034    692 52201 575 1
  196 J005550.75-101905.7  13.961458   -10.318248     0.309131    657 52177  66 1
  197 J005619.45+153134.3  14.081058    15.526205     0.212689    421 51821 331 1
  198 J005633.37+000510.2  14.139032     0.086166056  0.0791654   394 51913 624 1
  199 J005643.81+141310.3  14.182554    14.219537     0.23425     421 51821 312 1
  200 J005653.99-005714.1  14.224977    -0.95392971   0.140629    395 51783 126 1
  201 J005704.42+141759.5  14.268402    14.29985      0.300133    421 51821 318 1
  202 J005707.82+000520.2  14.282579     0.088951841  0.195838    395 51783 393 1
  203 J005709.93+144610.3  14.291375    14.769523     0.17209     421 51821 307 1
  204 J005737.71+144259.5  14.407143    14.716526     0.240555    421 51821 261 1
  205 J005739.20+010044.9  14.413338     1.0124723    0.252617    395 51783 407 1
  206 J005809.63+133502.5  14.540109    13.584035     0.248178    421 51821 281 1
  207 J005812.85+160201.4  14.553558    16.033715     0.210642    421 51821 329 1
  208 J005829.10-092917.9  14.621256    -9.4882934    0.300514    657 52177 628 1
  209 J005842.94-094102.3  14.678896    -9.6839778    0.188256    658 52146 488 1
  210 J005847.48-010549.8  14.69785     -1.0971606    0.0465049   395 51783  42 1
  211 J005935.72-101132.1  14.89882    -10.192258     0.215443    657 52177  37 1
  212 J005950.19+143648.3  14.959116    14.613416     0.18691     421 51821 183 1
  213 J010003.17+155058.2  15.013213    15.849506     0.108944    421 51821 405 1
  214 J010009.33+010115.3  15.038866     1.0209032    0.312463    395 51783 532 1
  215 J010041.68+142744.2  15.173649    14.462286     0.161641    421 51821 180 1
  216 J010044.84+144536.0  15.186815    14.759998     0.291489    421 51821 167 1
  217 J010059.82+152506.1  15.24925     15.418361     0.198886    421 51821 466 1
  218 J010116.24-104739.0  15.317672   -10.794177     0.103215    658 52146 121 1
  219 J010119.91-003728.6  15.332944    -0.62459892   0.191302    396 51816 315 1
  220 J010151.07+002029.0  15.462811     0.34138091   0.322103    395 51783 597 1
  221 J010204.37-103805.9  15.518215   -10.634959     0.304219    658 52146  99 1
  222 J010215.62-083637.5  15.565077    -8.6104214    0.0711556   658 52146 521 1
  223 J010226.31-003904.6  15.609641    -0.6512844    0.294263    396 51816 276 1
  224 J010230.04-003206.8  15.625164    -0.53521975   0.342803    395 51783  25 1
  225 J010338.10+003426.3  15.908751     0.57397072   0.255547    395 51783 618 1
  226 J010359.01-003544.2  15.995857    -0.59562027   0.280374    693 52254 107 1
  227 J010403.95+003825.6  16.01647      0.64045443   0.144117    396 51816 476 1
  228 J010407.00+011413.1  16.029158     1.2369618    0.311941    396 51816 364 1
  229 J010409.16+000843.7  16.038167     0.14547729   0.0709569   395 51783 633 1
  230 J010410.72-010848.1  16.044683    -1.1466952    0.210294    396 51816 208 1
  231 J010514.50+000226.1  16.310403     0.040586672  0.203509    396 51816 494 1
  232 J010546.50+000704.9  16.443738     0.11802576   0.263762    396 51816 518 1
  233 J010600.56+152441.9  16.502354    15.411646     0.20437     422 51878 334 2
  234 J010626.33+003916.1  16.60972      0.65447672   0.0937444   396 51816 542 1
  235 J010629.30+151449.5  16.622087    15.247081     0.167662    421 51821 638 1
  236 J010712.03+140845.0  16.800139    14.145832     0.0769105   422 51811 224 1
  237 J010812.28-002333.5  17.051157    -0.392651     0.243312   1499 53001 302 1
  238 J010832.15-004516.2  17.133963    -0.75449716   0.158568    397 51794 282 1
  239 J010843.72-001900.1  17.182167    -0.31668402   0.196186    397 51794 310 1
  240 J010915.48+132603.8  17.314496    13.434379     0.183805    422 51811 137 1
  241 J010933.93+152559.0  17.391368    15.433069     0.226807    422 51811 420 1
  242 J010939.02+005950.3  17.412575     0.9973135    0.09288     397 51794 338 1
  243 J010945.08-003544.4  17.437832    -0.59566996   0.19509     397 51794 186 1
  244 J010946.70+134411.9  17.444568    13.736638     0.0754199   422 51811 127 1
  245 J010950.84+152730.8  17.461845    15.458561     0.178892    422 51878 457 2
  246 J010954.87-100637.0  17.478628   -10.110266     0.142323    659 52199 142 1
  247 J011009.01-100843.4  17.53756    -10.145394     0.058084    659 52199 156 1
  248 J011039.73+153443.4  17.66553     15.578725     0.271782    422 51811 524 1
  249 J011059.31+002601.1  17.747137     0.43365139   0.0188404   397 51794 474 1
  250 J011110.04-101631.8  17.791822   -10.275488     0.179151    659 52199 111 1
  251 J011140.03-095834.9  17.916793    -9.9763556    0.206907    660 52177 303 1
  252 J011143.84-103016.5  17.932658   -10.504585     0.244251    659 52199   4 1
  253 J011146.21+134215.7  17.942537    13.704352     0.246193    423 51821 289 1
  254 J011240.52+005428.0  18.168813     0.90777621   0.236621    397 51794 454 1
  255 J011245.56+144920.2  18.189852    14.822278     0.190949    422 51811 581 1
  256 J011254.92+000313.1  18.228845     0.05363528   0.238636    397 51794 512 1
  257 J011346.38-094948.8  18.443267    -9.8302146    0.251571    660 52177 272 1
  258 J011359.54-003248.7  18.498081    -0.54685916   0.180492    398 51789 303 1
  259 J011402.36-004750.9  18.509815    -0.79746892   0.349845    397 51794  58 1
  260 J011448.68-002946.1  18.702821    -0.49613431   0.0339035   398 51789 261 1
  261 J011456.01-084143.5  18.733363    -8.6954125    0.208725    660 52177 378 1
